Restoran Adı,Puan,degerlendirme,min siparis,mutfak,fiyat aralıgı kod,Teslimat Süresi Dk
kaya döner bomonti,3.4,100.0,300,döner,2.0,27.5
beyoğlu halk döner,5.4,30000.0,500,döner,2.0,32.5
kebo,1.4,500.0,300,döner,2.0,17.5
döner evi,4.0,5000.0,300,döner,2.0,27.5
etibeyaz döner,9.3,25000.0,300,döner,2.0,17.5
dürüm molası merkez,1.4,2000.0,300,döner,2.0,17.5
dürüm molası hatay usulü döner (3. kayıt),1.4,1000.0,300,döner,2.0,22.5
öz hatay usulü döner & sulu yemek,4.86,4756.11,300,döner,2.0,17.5
oba döner (seyrantepe),9.3,500.0,300,döner,2.0,22.5
öz anteplim lahmacun (gültepe),9.3,100.0,300,kebap ,2.0,22.5
pa döner,4.0,1000.0,300,döner,2.0,17.5
mercan döner,8.2,100.0,300,döner,2.0,17.5
hatay soslu döner,4.0,1000.0,150,döner,2.0,27.5
burç döner,6.4,100.0,300,döner,2.0,27.5
meşhur hatay dürümcüsü,4.4,1000.0,300,kebap ,2.0,27.5
sr döner,7.3,2000.0,300,döner,2.0,22.5
define büfe,1.4,4000.0,1.000,döner,2.0,32.5
doysos hatay usulü döner,2.4,1000.0,300,döner,2.0,17.5
reform çağın döneri,7.3,1000.0,300,döner,2.0,27.5
kuzey köfte,8.4,2000.0,200,kebap,2.0,32.5
etibeyaz döner (2. kayıt),1.4,45000.0,490,döner,2.0,27.5
döner records,7.3,500.0,300,döner,2.0,32.5
meşhur hatay dürümcüsü (2. kayıt),1.4,500.0,300,döner,2.0,17.5
kızılkayalar hamburger,9.3,500.0,300,kebap,2.0,32.5
mixsos,9.3,100.0,300,döner,2.0,37.5
pilav üstü,5.0,4000.0,160,döner,2.0,27.5
ess katik döner,6.3,58.0,300,döner,2.0,17.5
bursa i̇skender,5.3,100.0,300,döner,2.0,22.5
zengin döner,7.3,10000.0,300,döner,2.0,22.5
dürümle,4.0,1000.0,300,kebap,2.0,22.5
büfe de büfe,4.4,1000.0,350,döner,2.0,50.0
frango döner & sauce (2. kayıt),2.3,1000.0,300,döner,2.0,32.5
tasty food & coffee,7.4,21.0,300,döner,2.0,22.5
usta dönercim,4.4,100.0,300,döner,2.0,27.5
morgül büfe,2.4,3000.0,300,döner,2.0,32.5
döner bank,1.3,24.0,300,döner,2.0,22.5
koç & köşem büfe,8.3,25000.0,500,döner,2.0,37.5
antiochia sos döner,4.86,4756.11,300,döner,2.0,22.5
kaçkar büfe (i̇stinye),8.3,14.0,300,döner,2.0,27.5
tadım sebzeli döner,3.4,15000.0,300,döner,2.0,27.5
döndürüm,4.86,4756.11,300,döner,2.0,22.5
hatay usulü döner molası,2.4,47.0,350,döner,2.0,32.5
meşhur pideli döner,1.4,100.0,300,döner,2.0,17.5
acı baba döner,4.3,51.0,300,döner,2.0,17.5
sait i̇skender restorant (poligon),6.4,500.0,1.000,kebap ,2.0,45.0
doysos hatay dürümcüsü,4.0,100.0,300,döner,2.0,27.5
napolist pizza (maslak),4.4,35000.0,300,pizza,2.0,22.5
seferbey döner & kebap (maslak),4.86,4756.11,300,kebap ,2.0,22.5
öz dünya döner,4.4,5000.0,350,döner,2.0,27.5
yusuf miran usta pizza (konaklar),7.3,1000.0,300,pizza,2.0,22.5
oba döner & kavurma,3.4,35.0,300,döner,2.0,22.5
hacı baba hatay usulü döner,8.3,89.0,300,döner,2.0,17.5
fam burger & more (merkez),1.4,45000.0,180,kebap ,2.0,45.0
gaziantep musa i̇skender kebap (ayazağa),2.4,2000.0,500,kebap ,2.0,32.5
abi döner express,1.0,2000.0,300,döner,2.0,17.5
express lahmacun & pide & kebap (gayrettepe),7.4,25000.0,400,kebap,2.0,50.0
bafra pide pizza (ayazağa),5.3,100.0,300,döner,2.0,27.5
ballı kapı döner & dürüm,5.4,35.0,300,döner,2.0,22.5
dostlar urfa sofrası (gürsel),9.4,100.0,0,kebap ,2.0,37.5
saray muhallebicisi 1935,1.4,25000.0,300,pizza,2.0,22.5
efes döner i̇stanbul,7.3,62.0,300,döner,2.0,32.5
abi kardeş pide lahmacun (mecidiyeköy),6.3,5000.0,300,kebap,2.0,22.5
barley brasserie & lounge (huzur),3.3,9.0,300,pizza,2.0,27.5
kebapçı etiler,4.4,1000.0,300,kebap ,2.0,27.5
nefis pide pizza lahmacun (mecidiyeköy),5.3,3000.0,300,pizza,2.0,17.5
şampiyon döner,2.4,500.0,150,döner,2.0,27.5
köşem döner & büfe,4.86,4756.11,300,döner,2.0,17.5
yeniyo döner,5.3,100.0,300,döner,2.0,27.5
dönerci hasan usta,4.0,30.0,1.000,döner,2.0,37.5
pizza coco pazzo,6.4,500.0,900,pizza,2.0,32.5
pizza bulls,1.4,4000.0,300.0000000,pizza,2.0,37.5
domino's pizza,7.3,35000.0,300,pizza,2.0,27.5
elif pizza,5.3,39.0,300,pizza,2.0,20.0
little caesars pizza,6.3,45000.0,300,pizza,2.0,32.5
hero's pizza,1.4,1000.0,200,pizza,2.0,32.5
limos pizza,4.4,15000.0,700,pizza,2.0,32.5
